id,lexeme,noun,article,translation,plural,example,example_ru
de:stadt:_:genus,stadt,Stadt,die,город,Städte,Die Stadt ist groß.,Город большой.
de:stelle:_:genus,stelle,Stelle,die,место,Stellen,Ich habe eine Stelle gefunden.,Я нашла работу.
de:stock:_:genus,stock,Stock,der,палка,Stöcke,Ich suche einen Stock.,Я ищу какую-нибудь палку.
de:strassenbahn:_:genus,strassenbahn,Straßenbahn,die,трамвай,Straßenbahnen,Man kann einen Bus oder eine Straßenbahn benutzen.,Можно поехать на автобусе или трамвае.
de:student:_:genus,student,Student,der,студент,Studenten,Sind Sie nicht Student?,Вы не студент?
de:studium:_:genus,studium,Studium,das,учёба,Studien,Wie läuft dein Studium?,Как у тебя с учёбой?
de:stunde:_:genus,stunde,Stunde,die,час,Stunden,Wir haben heute nur eine Stunde.,У нас сегодня только одна лекция.
de:tasche:_:genus,tasche,Tasche,die,сумка,Taschen,Wo ist die Tasche?,Где сумка?
de:taxi:_:genus,taxi,Taxi,der,такси,Taxis,Sie braucht ein Taxi.,Ей нужно такси.
de:tee:_:genus,tee,Tee,der,чай,Tees,Ist das dein Tee?,Это твой чай?
de:teil:_:genus,teil,Teil,der,часть,Teile,Das ist nur ein Teil des Problems.,Это только часть проблемы.
de:telefon:_:genus,telefon,Telefon,das,телефон,Telefone,Das ist ein Telefon.,Это телефон.
de:termin:_:genus,termin,Termin,der,назначенный час,Termine,Ich habe einen Termin.,У меня встреча.
de:test:_:genus,test,Test,der,тест,Tests,Das ist ein Test.,Это тест.
de:text:_:genus,text,Text,der,текст,Texte,Lesen wir den Text.,Давайте прочтём текст.
de:thema:_:genus,thema,Thema,das,тема,Themen,Wechseln wir das Thema.,Давайте сменим тему.
de:ticket:_:genus,ticket,Ticket,das,билет,Tickets,Sie hat kein Ticket.,У неё нет билета.
de:tochter:_:genus,tochter,Tochter,die,дочь,Töchter,Ich habe eine Tochter.,У меня есть дочь.
de:toilette:_:genus,toilette,Toilette,die,туалет,Toiletten,Die Toilette ist frei.,Туалет свободен.
de:tomate:_:genus,tomate,Tomate,die,помидор,Tomaten,Er isst eine Tomate.,Он ест помидор.
de:treppe:_:genus,treppe,Treppe,die,лестница,Treppen,Ich nehme die Treppe.,Я пойду по лестнице.
de:uhr:_:genus,uhr,Uhr,die,часы,Uhren,Die Uhr geht vor.,Часы спешат.
de:unterschrift:_:genus,unterschrift,Unterschrift,die,подпись,Unterschriften,Das ist Toms Unterschrift.,Это подпись Тома.
de:urlaub:_:genus,urlaub,Urlaub,der,отпуск,Urlaube,Wie war dein Urlaub?,Как прошёл отпуск?
de:vater:_:genus,vater,Vater,der,отец,Väter,Er hat einen Vater.,У него есть отец.
de:verein:_:genus,verein,Verein,der,союз,Vereine,Der Verein hat dreißig Mitglieder.,В этом обществе тридцать членов.
de:verkaeufer:_:genus,verkaeufer,Verkäufer,der,продавец,Verkäufer,Ist das der Verkäufer?,Это продавец?
de:vermieter:_:genus,vermieter,Vermieter,der,арендодатель,Vermieter,Wie viele Immobilien besitzt der Vermieter?,Каким количеством имущества владеет собственник?
de:verwandte:_:genus,verwandte,Verwandte,die,родственница,Verwandte,Wir haben dort Verwandte.,У нас там родственники.
de:vorname:_:genus,vorname,Vorname,der,имя,Vornamen,Vorname? Familienname? Geburtsdatum und -ort?,Имя? Фамилия? Дата и место рождения?
de:vorsicht:_:genus,vorsicht,Vorsicht,die,осторожность,,Vorsicht vor dem Hund!,Берегись собаки!
de:wein:_:genus,wein,Wein,der,вино,Weine,Er mag keinen Wein.,Он не любит вино.
de:welt:_:genus,welt,Welt,die,мир,Welten,Die Welt ist groß.,Мир велик.
de:wetter:_:genus,wetter,Wetter,das,погода,Wetter,Wie ist das Wetter?,Как погода?
de:wind:_:genus,wind,Wind,der,ветер,Winde,Der Wind nimmt zu.,Ветер усиливается.
de:wohnung:_:genus,wohnung,Wohnung,die,квартира,Wohnungen,Wir suchen eine Wohnung.,Мы ищем квартиру.
de:wort:_:genus,wort,Wort,das,слово,Wörter,Sie schrieb das Wort.,Она написала слово.
de:zeit:_:genus,zeit,Zeit,die,время,Zeiten,Wir hatten keine Zeit.,У нас не было времени.
de:zeitung:_:genus,zeitung,Zeitung,die,газета,Zeitungen,Das ist eine Zeitung.,Это газета.
de:zimmer:_:genus,zimmer,Zimmer,das,комната,Zimmer,Das ist mein Zimmer.,Это моя комната.
de:zug:_:genus,zug,Zug,der,поезд,Züge,Wo ist der Zug?,Где поезд?
de:abendessen:_:genus,abendessen,Abendessen,das,ужин,Abendessen,Ist das Abendessen fertig?,Ужин готов?
de:ampel:_:genus,ampel,Ampel,die,светофор,Ampeln,Ich warte auf die Ampel.,Я жду светофор.
de:antrag:_:genus,antrag,Antrag,der,предложение,Anträge,Sein Antrag traf sie wie ein Blitz.,Его предложение ударило её как молния.
de:apotheke:_:genus,apotheke,Apotheke,die,аптека,Apotheken,Wo ist die Apotheke?,Где аптека?
de:aufenthalt:_:genus,aufenthalt,Aufenthalt,der,пребывание,Aufenthalte,Wie war Ihr Aufenthalt?,Каким было Ваше пребывание?
de:badezimmer:_:genus,badezimmer,Badezimmer,das,ванная комната,Badezimmer,Das Badezimmer ist oben.,Ванная наверху.
de:bargeld:_:genus,bargeld,Bargeld,das,наличные деньги,Bargelder,Ich habe kein Bargeld.,У меня нет наличных.
de:besprechung:_:genus,besprechung,Besprechung,die,обсуждение,Besprechungen,Wann beginnt die Besprechung?,Когда начнётся собрание?
de:blut:_:genus,blut,Blut,das,кровь,Blute,Wo ist das Blut?,Где кровь?
de:boden:_:genus,boden,Boden,der,земля,Böden,Er lag auf dem Boden.,Он лежал на полу.
de:bruecke:_:genus,bruecke,Brücke,die,мост,Brücken,Wo ist die Brücke?,Где мост?
de:buero:_:genus,buero,Büro,das,офис,Büros,"Dies ist das Büro, in dem er arbeitet.","Это офис, в котором он работает."
de:cent:_:genus,cent,Cent,der,цент,Cents,Sie bekommen keinen Cent.,Вы не получите ни гроша.
de:decke:_:genus,decke,Decke,die,потолок,Decken,Wo ist die Decke?,Где одеяло?
de:erkaeltung:_:genus,erkaeltung,Erkältung,die,простуда,Erkältungen,Er hat eine Erkältung.,У него простуда.
de:fahrplan:_:genus,fahrplan,Fahrplan,der,расписание,Fahrpläne,Haben Sie einen Fahrplan?,У Вас есть расписание?
de:feiertag:_:genus,feiertag,Feiertag,der,праздник,Feiertage,Heute ist ein Feiertag.,Сегодня выходной.
de:finger:_:genus,finger,Finger,der,палец на руке,Finger,Das war mein Finger.,Это был мой палец.
de:fruehling:_:genus,fruehling,Frühling,der,весна,Frühlinge,Der Frühling ist da.,Весна пришла.
de:fuehrerschein:_:genus,fuehrerschein,Führerschein,der,водительское удостоверение,Führerscheine,Er hat keinen Führerschein,
de:gebuehr:_:genus,gebuehr,Gebühr,die,плата,Gebühren,,
de:geburtsdatum:_:genus,geburtsdatum,Geburtsdatum,das,дата рождения,Geburtsdaten,Was ist Ihr Geburtsdatum?,Какая у Вас дата рождения?
de:geldautomat:_:genus,geldautomat,Geldautomat,der,банкомат,Geldautomaten,Wo ist der nächste Geldautomat?,Где ближайший банкомат?
de:gesundheit:_:genus,gesundheit,Gesundheit,die,здоровье,,Es ist für die Gesundheit des Menschen gut.,Это полезно для здоровья человека.
de:gramm:_:genus,gramm,Gramm,das,грамм,Gramme,Koche dreihundert Gramm Reis!,Свари триста грамм риса.
de:grippe:_:genus,grippe,Grippe,die,грипп,Grippen,Er hat die Grippe.,У него грипп.
de:hals:_:genus,hals,Hals,der,шея,Hälse,Wasch dir den Hals!,Вымой шею.
de:haut:_:genus,haut,Haut,die,кожа,Häute,Die Haut ist das größte Körperorgan.,Кожа - самый большой орган тела.
de:herbst:_:genus,herbst,Herbst,der,осень,Herbste,Der Herbst ist gekommen.,Пришла осень.
de:herz:_:genus,herz,Herz,das,сердце,,Hier ist mein Herz.,Вот моё сердце.
de:husten-noun:_:genus,husten-noun,Husten,der,кашель,Husten,Ich habe Sie husten gehört.,"Я слышал, как Вы кашляете."
de:jahreszeit:_:genus,jahreszeit,Jahreszeit,die,время года,Jahreszeiten,Es ist die beste Jahreszeit.,Это лучшее время года.
de:kaese:_:genus,kaese,Käse,der,сыр,Käse,Essen Sie den Käse!,Ешьте сыр.
de:keller:_:genus,keller,Keller,der,подвал,Keller,Ich habe keinen Keller.,У меня нет погреба.
de:kilo:_:genus,kilo,Kilo,das,килограмм,Kilos,Was kostet ein Kilo Äpfel?,Сколько стоит килограмм яблок?
de:kinderzimmer:_:genus,kinderzimmer,Kinderzimmer,das,детская комната,Kinderzimmer,Das Kinderzimmer ist da drüben.,Детская комната там.
de:knie:_:genus,knie,Knie,das,колено,Knie,Tut dir das Knie noch weh?,Колено ещё болит?
de:koerper:_:genus,koerper,Körper,der,тело,Körper,Der Körper ist sterblich.,Тело смертно.
de:krankenhaus:_:genus,krankenhaus,Krankenhaus,das,больница,Krankenhäuser,Wo ist das Krankenhaus?,Где находится больница?
de:krankheit:_:genus,krankheit,Krankheit,die,болезнь,Krankheiten,Das ist keine Krankheit.,Это не болезнь.
de:kreditkarte:_:genus,kreditkarte,Kreditkarte,die,кредитная карточка,Kreditkarten,Ich habe eine Kreditkarte.,У меня есть кредитная карточка.
de:kreuzung:_:genus,kreuzung,Kreuzung,die,перекресток,Kreuzungen,Wie heißt diese Kreuzung?,Как называется этот перекрёсток?
de:liter:_:genus,liter,Liter,der,литр,Liter,Was kostet ein Liter Milch?,Сколько стоит литр молока?
de:lohn:_:genus,lohn,Lohn,der,заработная плата,Löhne,"Wie die Arbeit, so der Lohn.",По работе и плата.
de:markt:_:genus,markt,Markt,der,рынок,Märkte,Der Markt ist groß.,Рынок большой.
de:medikament:_:genus,medikament,Medikament,das,медикамент,Medikamente,Das Medikament ist bitter.,Лекарство горькое.
de:mittag:_:genus,mittag,Mittag,der,полдень,Mittage,Essen wir zu Mittag!,Давай обедать!
de:mittagessen:_:genus,mittagessen,Mittagessen,das,обед,Mittagessen,Wie war das Mittagessen?,Как обед?
de:motorrad:_:genus,motorrad,Motorrad,das,мотоцикл,Motorräder,Ist das dein Motorrad?,Это твой мотоцикл?
de:muenze:_:genus,muenze,Münze,die,монета,Münzen,Das ist eine Münze.,Это монета.
de:museum:_:genus,museum,Museum,das,музей,Museen,Wo ist das Museum?,Где музей?
de:nachbar:_:genus,nachbar,Nachbar,der,сосед,Nachbarn,Mein Nachbar ist Arzt.,Мой сосед - врач.
de:nachbarin:_:genus,nachbarin,Nachbarin,die,соседка,Nachbarinnen,Sie ist unsere Nachbarin.,Она наша соседка.
de:nachmittag:_:genus,nachmittag,Nachmittag,der,послеобеденное время,Nachmittage,Er kommt heute Nachmittag.,Он придёт сегодня после обеда.
de:nacht:_:genus,nacht,Nacht,die,ночь,Nächte,Die Nacht ist lang.,Ночь долгая.
de:nase:_:genus,nase,Nase,die,нос,Nasen,Hat er eine große Nase?,У него большой нос?
de:ohr:_:genus,ohr,Ohr,das,ухо,Ohren,,
de:onkel:_:genus,onkel,Onkel,der,дядя,Onkel,Er ist mein Onkel.,Он мой дядя.
de:packung:_:genus,packung,Packung,die,упаковка,Packungen,Ich brauche eine Packung Eier.,Мне нужна упаковка яиц.
de:parkplatz:_:genus,parkplatz,Parkplatz,der,парковка,Parkplätze,Ich suche einen Parkplatz.,Я ищу где припарковаться.
de:regal:_:genus,regal,Regal,das,полка,Regale,Nimm ein Buch aus dem Regal!,Возьми с полки книгу.
de:rezept:_:genus,rezept,Rezept,das,рецепт,Rezepte,Das Rezept ist einfach.,Рецепт простой.
de:richtung:_:genus,richtung,Richtung,die,направление,Richtungen,Sie gehen in die falsche Richtung.,Вы идёте не в ту сторону.
de:ruecken:_:genus,ruecken,Rücken,der,спина,Rücken,Der Rücken ist hinten.,Спина сзади.
de:schein:_:genus,schein,Schein,der,свет,Scheine,Das ist nur Schein.,Это видимость.
de:schiff:_:genus,schiff,Schiff,das,корабль,Schiffe,Das Schiff kann man noch sehen.,Корабль еще можно увидеть.
de:schlafzimmer:_:genus,schlafzimmer,Schlafzimmer,das,спальня,Schlafzimmer,Wo ist das Schlafzimmer?,Где спальня?
de:schmerz:_:genus,schmerz,Schmerz,der,боль,Schmerzen,Der Schmerz ist weg.,Боль прошла.
de:schnee:_:genus,schnee,Schnee,der,снег,,Der Schnee ist weiß.,Снег белый.
de:schokolade:_:genus,schokolade,Schokolade,die,шоколад,Schokoladen,Ich mag keine Schokolade.,Я не люблю шоколад.
de:sommer:_:genus,sommer,Sommer,der,лето,Sommer,Der Sommer ist heiß.,Лето жаркое.
de:spiegel:_:genus,spiegel,Spiegel,der,зеркало,Spiegel,Wo ist ein Spiegel?,Где зеркало?
de:staatsangehoerigkeit:_:genus,staatsangehoerigkeit,Staatsangehörigkeit,die,гражданство,Staatsangehörigkeiten,Was ist Ihre Staatsangehörigkeit?,Кто вы по национальности?
de:stueck:_:genus,stueck,Stück,das,кусок,Stücke,Ich lese ein Stück.,Я читаю пьесу.
de:supermarkt:_:genus,supermarkt,Supermarkt,der,супермаркет,Supermärkte,Hat der Supermarkt schon zu?,Супермаркет уже закрыт?
de:suppe:_:genus,suppe,Suppe,die,суп,Suppen,Hat die Suppe geschmeckt?,Суп был вкусный?
de:tablette:_:genus,tablette,Tablette,die,таблетка,Tabletten,Die Tablette hat gewirkt.,Таблетка подействовала.
de:tankstelle:_:genus,tankstelle,Tankstelle,die,бензозаправка,Tankstellen,Früher war hier eine Tankstelle.,Раньше здесь была заправка.
de:tante:_:genus,tante,Tante,die,тётя,Tanten,Das ist meine Tante.,Это моя тётя.
de:temperatur:_:genus,temperatur,Temperatur,die,температура,Temperaturen,Wie ist die Temperatur?,Какая температура?
de:teppich:_:genus,teppich,Teppich,der,ковёр,Teppiche,Bleib auf dem Teppich!,Не сходи с ковра!
de:theater:_:genus,theater,Theater,das,театр,Theater,Das Theater ist leer.,В театре пусто.
de:ueberweisung:_:genus,ueberweisung,Überweisung,die,перевод,Überweisungen,,
de:universitaet:_:genus,universitaet,Universität,die,университет,Universitäten,"Er spart, um auf die Universität gehen zu können.",Он копит деньги на учёбу в университете.
de:visum:_:genus,visum,Visum,das,виза,Visa,Ich habe ein Visum.,У меня есть виза.
de:vormittag:_:genus,vormittag,Vormittag,der,первая половина дня,Vormittage,,
de:wand:_:genus,wand,Wand,die,стена,Wände,Wo ist die Wand?,Где стена?
de:weg-noun:_:genus,weg-noun,Weg,der,дорога,Wege,Ist der Weg gut?,Дорога хорошая?
de:winter:_:genus,winter,Winter,der,зима,Winter,Nach dem Herbst kommt der Winter.,За осенью приходит зима.
de:wochenende:_:genus,wochenende,Wochenende,das,выходные,Wochenenden,Wie war dein Wochenende?,Как прошли твои выходные?
de:wohnzimmer:_:genus,wohnzimmer,Wohnzimmer,das,гостиная,Wohnzimmer,Das ist das Wohnzimmer.,Это гостиная.
de:wolke:_:genus,wolke,Wolke,die,облако,Wolken,Es war keine Wolke zu sehen.,Не было видно ни облачка.
de:wurst:_:genus,wurst,Wurst,die,колбаса,Würste,Wir haben keine Wurst mehr.,У нас больше нет колбасы.
de:zahn:_:genus,zahn,Zahn,der,зуб,Zähne,Mein Zahn tut weh.,У меня болит зуб.
de:zucker:_:genus,zucker,Zucker,der,сахар,Zucker,Das ist kein Zucker.,Это не сахар.
de:abend:_:genus,abend,Abend,der,вечер,Abende,,
de:dienstag:_:genus,dienstag,Dienstag,der,вторник,Dienstage,Dienstag kommt nach Montag.,Вторник идёт после понедельника.
de:donnerstag:_:genus,donnerstag,Donnerstag,der,четверг,Donnerstage,Nach dem Donnerstag kommt der Freitag.,После четверга пятница.
de:feierabend:_:genus,feierabend,Feierabend,der,конец рабочего дня,Feierabende,Möchtest du nach Feierabend noch einen trinken gehen?,Хочешь после работы пропустить по стаканчику?
de:freitag:_:genus,freitag,Freitag,der,пятница,Freitage,Wie wäre es mit Freitag?,Как насчёт пятницы?
de:jahr:_:genus,jahr,Jahr,das,год,Jahre,Was für ein Jahr ist es?,Сейчас какой год?
de:kalender:_:genus,kalender,Kalender,der,календарь,Kalender,Wo ist der Kalender?,Где календарь?
de:minute:_:genus,minute,Minute,die,минута,Minuten,Ich habe eine Minute.,У меня есть минута.
de:mitternacht:_:genus,mitternacht,Mitternacht,die,полночь,Mitternächte,Es ist schon Mitternacht.,Уже полночь.
de:mittwoch:_:genus,mittwoch,Mittwoch,der,среда,Mittwoche,"Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag.","Понедельник, вторник, среда, четверг, пятница, суббота, воскресенье."
de:monat:_:genus,monat,Monat,der,месяц,Monate,Der Monat geht dem Ende zu.,Месяц подходит к концу.
de:montag:_:genus,montag,Montag,der,понедельник,Montage,Montag kommt nach Sonntag.,Понедельник идёт после воскресенья.
de:morgen-noun:_:genus,morgen-noun,Morgen,der,утро,Morgen,,
de:samstag:_:genus,samstag,Samstag,der,суббота,Samstage,Samstag kommt vor Sonntag.,Суббота предшествует воскресенью.
de:sekunde:_:genus,sekunde,Sekunde,die,секунда,Sekunden,Warten Sie keine Sekunde länger.,Не ждите больше ни секунды.
de:sonntag:_:genus,sonntag,Sonntag,der,воскресенье,Sonntage,Montag kommt nach Sonntag.,Понедельник идёт после воскресенья.
de:tag:_:genus,tag,Tag,der,день,Tage,Es war ein guter Tag.,Был чудесный день.
de:wecker:_:genus,wecker,Wecker,der,будильник,Wecker,Das ist mein Wecker.,Это мой будильник.
de:woche:_:genus,woche,Woche,die,неделя,Wochen,Sie kommen in einer Woche an.,Они приезжают через неделю.
